Scene,Lieu,Début,Fin,Groupe,Style,Lien d'écoute,Description
,,19h30,20h00,DJ,,,
,,20h00,20h25,Dahod Music,R&B,,
,,20h30,20h55,Babay,Reggae,,
,,20h55,21h00,DJ,,,
,,21h00,21h25,La Chronik,Rap,,
,,21h30,21h55,New Soul Contest,R&B,,
,,21h55,22h00,DJ,,,
,,22h00,22h25,Lydia D,,,
,,22h25,22h30,Danse HH,,,
,,22h30,22h55,TomK,Rap,,
,,22h55,23h00,DJ + danseurs NL,,,
,,23h00,23h20,SMR,,,
,,23h30,23h55,EKLIPS,,,
Scène Classique ,Parc de la Citadelle,19h00,21h00,Ensemble musicaux de l'ARES,,,"les élèves de l'école de musique de l'ARES présentent leurs travaux balayant différents aspects de la musique de la musique classique. chorales, musique de chambre, ensemble de guitares, musique ancienne ou baroque…"
,,21h00,22h00,Ensemble le Masque,Instrumental,,"Au programme des airs de Morgana, extraits de l’opéra « Alcina », des airs allemands pleins de charme mélodique et des pièces instrumentales toujours expressives et virtuoses."
,,22h00,23h00,Atout Lyrique,Cabaret lyrique,,"La nouvelle création d’Atout lyrique, allie danse hip hop et chant lyrique. Danseurs, chanteurs et comédiens, les interprètes nous offre un voyage au sein d’une maison close dans laquelle de nombreux personnages se côtoient où d’autres se rencontrent."
scène partenaire,Place Broglie - METEOR'HITS,17h15,18h00,METEOR-HITS,karaoké pour enfants,http://www.meteorhits.org/presentation-groupe/aboutprestations,"Les Meteor-Hit's vous préparent une fête de la musique aux petits oignons! De 17h a 01h30 donner de la voix avec un vrai groupe derrière vous qui enchaînera plus de 200 titres parmi les plus connus et les plus récents, tout au Long de la journée. Seul mot d'ordre : vous êtes la star !

Et pour que la fête soit encore plus forte ils ont invité Eve-r, les Fat badgers, Jewly et les Bredelers à se joindre à eux pour proposer une journée musicale festive et ""live"".
"
,,18h000,18h30,EVE-R,indie pop, www.eve-r.com,
,,18h30,19h00,Bredelers,electro funk,www.bredelers.com,
,,19h00,20h00,METEOR-HITS,karaoké,,
,,20h00,20h30,Jewly,karaoké,www.jewlymusic.com,
,,20h30,21h00,Fat Badgers,rock,,
,,21h00,22h00,METEOR-HITS,karaoké,,
,,22h00,22h30,EVE-R,indie pop,,
,,22h30,23h00,Jewly,rock,,
,,23h00,00h00,METEOR-HITS,karaoké,,
,,00h00,00h30,Bredelers,celti-punki-rock,,
,,00h30,01h00,Fat Badgers,electro funk,,
,,01h00,01h30,METEOR-HITS,karaoké,,
scène partenaire,Place Broglie,18h00,01h30,Smile this sound ,électro,,Smile This Sound et le café de l'opéra présentent une soirée deep-house
scène partenaire,Place de Zurich,15h00,00h00,T-matik,DJ,http://www.t-matik.fr/,"retracez l'histoire en musique. T-Matik présente une retrospective actualisée de l'histoire. Des années 30 aux années 90, dansez aux sons du swing, rock, techno."
scène partenaire,Place des Meuniers,18h00,01h30,AND Crew,électro,www.adncrew.fr,"ADN Crew transforme la place des Meuniers en dancefloor, pour tous les amateurs de musique électronique, de 3 à 77 ans."
scène partenaire,Place d'Austerlitz,18h00,01h30,Représentation du Mexique au conseil de l'Europe,Musique du monde,,"concert de marimba, instrument traditionnel mexicain. "
,,,,Association Culturelle Russe,Musique du monde,,Découvrez la Russie à travers un programme basé sur les chansons et les danses traditionnelles.
,,,,La Maison Russe à Strasbourg,Musique du monde,,
scène partenaire,Place de l'Univesité,18h00,01h30,ANTIPOD,Electro,,"Le collectifs de DJ's et producteurs de musique électronique vous fera danser sur une programmation hip-hop, dub et drum n’ bass."
scène partenaire,Place Mathias Merian,18h00,01h30,ART RHYTHMS,Electro,,L'association vous propose une programmation Techno House Minimal dans la lignée des pères fondateur de la musique électronique made in DETROIT.
scène partenaire,Parc de la Petite Orangerie,16h30,21h00,Direction de proximité Robertsau conseil des XV,,,"Retrouvez de 16h30 à 21h00 le centre d’éducation musical de la Robertsau , l’école de musique, ainsi que les Accordéons de l’Ill."
scène partenaire,Place Arnold,19h00,22h00,Ateliers d'Eden,,,l'association les Ateliers d'Eden présente un programme musical familial et riche en notes ! 
scène partenaire,Rue de la Grande Boucherie,18h00,01h30,COLDSTONE,rock,,Coldstone et compères reviennent avec un programme rock décoiffant ! 
scène partenaire,Place St-Etienne,18h00,21h00,Let's Go Zik,électro,http://www.letsgozik.org,"découvrez les djs techno, trance, hand's up et hardstyle de Let's go Zik"
,,21h00,01h30,Longevity ,électro,http://longevity-festival.com/,Longevity Festival est un lieu de découverte accessible à tous. Les artistes invités sont issus de la scène électronique underground. 
scène partenaire,Place St-Nicolas aux ondes,14h00,00h00,Micro-ondes festival,,,"A l'occasion de la fête de la musique, le festival Micro Onde présente : Serge G. Révolution, Pan, Vox Copuli, Atohm, Lenno, Call me Cherry, Cut, Nolosé, Inglorious Princess and the Bastards, Les Boycotteurs"
scène partenaire,Parc de Palais du Rhin,18h00,01h30,Fossé des 13,,http://www.cscf13.org/,"Le Fossé des Treize fête la musique sur une scène à ciel ouvert. Une programmation électique, des artistes, amateurs et professionnels, investiront les jardins du Palais du Rhin pour fêter la musique comme il se doit."
scène partenaire,Place Ste-Madeleine,18h00 ,01h30,On the Road,Electro,,"L'association On the Road vous présente : Yeah Girl, Ficus, Radio Sanchez, Zee Reach, Banana Split et Mister E."
